Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
42895.74,1066.342,25.797,23.676
42895.78,1066.342,25.687,23.584
42895.82,1067.217,25.747,23.62
42895.86,1067.858,25.833,23.668
42895.91,1068.558,25.917,23.696
42895.95,1069.083,25.98,23.748
42895.99,1069.433,26.017,23.828
42896.03,1069.608,26.03,24.064
42896.07,1069.258,26.023,24.228
42896.11,1069.083,25.993,24.244
42896.16,1068.558,25.95,24.18
42896.20,1068.208,25.893,24.224
42896.24,1068.208,25.827,24.332
42896.28,1068.383,25.757,24.436
42896.32,1068.558,25.68,24.536
42896.36,1068.733,25.6,24.56
42896.41,1068.558,25.517,24.576
42896.45,1068.558,25.447,24.568
42896.49,1068.208,25.4,24.56
42896.53,1071.708,25.4,24.576
42896.57,1086.875,25.45,24.676
42896.61,1101.925,25.567,24.772
42896.66,1097.9,25.703,24.76
42896.70,1087.75,25.847,24.712
42896.74,1076.667,25.973,24.672
42896.78,1068.558,26.087,24.648
42896.82,1069.258,26.2,24.66
42896.86,1068.733,26.303,24.672
42896.91,1069.083,26.397,24.676
42896.95,1069.783,26.463,24.696
42896.99,1069.958,26.51,24.7
42897.03,1069.608,26.527,24.696
42897.07,1070.075,26.523,24.704
42897.11,1069.608,26.5,24.724
42897.16,1075.967,26.463,24.78
42897.20,1081.508,26.417,24.8
42897.24,1078.358,26.36,24.816
42897.28,1071.3,26.303,24.788
42897.32,1071.3,26.253,24.8
42897.36,1071.358,26.207,24.772
42897.41,1071.708,26.153,24.768
42897.45,1071.475,26.11,24.76
42897.49,1071.475,26.09,24.772
42897.53,1070.95,26.11,24.752
42897.57,1080.283,26.173,24.816
42897.61,1094.108,26.3,24.944
42897.66,1100.35,26.447,25.036
42897.70,1092.883,26.587,25.004
42897.74,1082.733,26.71,24.98
42897.78,1071.708,26.813,24.944
42897.82,1072,26.903,24.952
42897.86,1072.175,26.99,24.952
42897.91,1072.35,27.05,24.964
42897.95,1072,27.077,24.98
42897.99,1072.175,27.073,24.988
42898.03,1071.825,27.047,24.976
42898.07,1071.183,27,24.984
42898.11,1070.658,26.943,24.988
42898.16,1070.308,26.877,25.012
42898.20,1071.125,26.807,25.012
42898.24,1072.175,26.733,25.016
42898.28,1070.658,26.657,25.028
42898.32,1071.3,26.577,25.024
42898.36,1071.65,26.503,25.044
42898.41,1071.708,26.43,25.036
42898.45,1072,26.36,25.056
42898.49,1071.708,26.297,25.048
42898.53,1071.475,26.25,25.052
42898.57,1071.3,26.223,25.04
42898.61,1077.717,26.227,25.084
42898.66,1089.442,26.26,25.16
42898.70,1089.267,26.297,25.192
42898.74,1081.858,26.34,25.156
42898.78,1070.133,26.38,25.104
42898.82,1068.908,26.42,25.092
42898.86,1068.908,26.457,25.12
42898.91,1069.258,26.49,25.116
42898.95,1069.608,26.507,25.128
42898.99,1069.083,26.507,25.132
42899.03,1068.908,26.493,25.128
42899.07,1068.383,26.463,25.136
42899.11,1068.208,26.427,25.124
42899.16,1068.383,26.373,25.128
42899.20,1069.083,26.313,25.156
42899.24,1074.275,26.243,25.176
42899.28,1069.608,26.173,25.152
42899.32,1069.433,26.1,25.144
42899.36,1069.958,26.033,25.164
42899.41,1070.483,25.963,25.16
42899.45,1070.133,25.903,25.152
42899.49,1069.958,25.85,25.148
42899.53,1069.083,25.813,25.144
42899.57,1068.908,25.81,25.148
42899.61,1072.525,25.853,25.168
42899.66,1085.125,25.937,25.252
42899.70,1096.325,26.03,25.352
42899.74,1091.017,26.127,25.324
42899.78,1081.508,26.223,25.288
42899.82,1071.65,26.313,25.24
42899.86,1068.208,26.4,25.244
42899.91,1068.208,26.477,25.232
42899.95,1068.558,26.54,25.244
42899.99,1068.383,26.57,25.26
42900.03,1067.858,26.577,25.236
42900.07,1067.508,26.553,25.252
42900.11,1067.508,26.51,25.26
42900.16,1066.867,26.453,25.252
42900.20,1066.808,26.387,25.248
42900.24,1073.4,26.31,25.272
42900.28,1078.592,26.227,25.308
42900.32,1076.142,26.143,25.308
42900.36,1069.433,26.057,25.264
42900.41,1069.083,25.98,25.264
42900.45,1069.083,25.913,25.256
42900.49,1068.383,25.877,25.256
42900.53,1068.033,25.9,25.24
42900.57,1067.042,25.983,25.252
42900.61,1066.517,26.137,25.248
42900.66,1075.267,26.337,25.288
42900.70,1089.617,26.66,25.508
42900.74,1093.583,26.887,25.568
42900.78,1086.35,27.12,25.552
42900.82,1077.542,27.317,25.516
42900.86,1068.033,27.47,25.476
42900.91,1068.033,27.59,25.484
42900.95,1068.208,27.68,25.48
42900.99,1068.383,27.727,25.492
42901.03,1067.858,27.737,25.488
42901.07,1067.508,27.71,25.504
42901.11,1066.983,27.663,25.504
42901.16,1066.458,27.593,25.496
42901.20,1066.458,27.513,25.484
42901.24,1070.483,27.42,25.512
42901.28,1079.408,27.32,25.568
42901.32,1080.108,27.22,25.576
42901.36,1072.7,27.12,25.552
42901.41,1068.033,27.037,25.536
42901.45,1067.683,26.967,25.524
42901.49,1067.508,26.917,25.524
42901.53,1066.983,26.92,25.524
