Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 13/03/2018
TIME       : 15:09:40
FILENAME   : C:\Users\melimore86\Desktop\MON\CSV\vei_v1290_180313150940.CSV
CREATED BY : Diver-Office 9.2.0.17
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..05-V1290  317.
  Instrument number       =UTC-4
                          =0
  Location                =vei_v1290
  Sample period           =M60
  Sample method           =T
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..05-V1290  317.
  Instrument number       =UTC-4
  Location                =vei_v1290
  Sample period           =00 00:60:00 0
  Sample method           =T
  Start date / time       =32:07:14 14/06/17
  End date / time         =32:07:12 12/10/17
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
2017/06/14 14:07:32,1038.458,30.610,0.004
2017/06/14 15:07:32,1071.008,26.490,35.864
2017/06/14 16:07:32,1086.642,26.333,36.264
2017/06/14 17:07:32,1090.667,26.523,36.432
2017/06/14 18:07:32,1084.308,26.793,36.380
2017/06/14 19:07:32,1074.567,27.043,36.192
2017/06/14 20:07:32,1070.658,27.197,36.268
2017/06/14 21:07:32,1070.133,27.383,36.240
2017/06/14 22:07:32,1069.783,27.527,36.172
2017/06/14 23:07:32,1069.667,27.617,36.008
2017/06/15 00:07:32,1069.258,27.663,35.776
2017/06/15 01:07:32,1068.208,27.670,35.584
2017/06/15 02:07:32,1067.217,27.640,35.424
2017/06/15 03:07:32,1066.050,27.580,35.324
2017/06/15 04:07:32,1065.525,27.503,35.292
2017/06/15 05:07:32,1065.525,27.407,35.312
2017/06/15 06:07:32,1076.842,27.300,35.832
2017/06/15 07:07:32,1079.292,27.230,35.908
2017/06/15 08:07:32,1071.533,27.137,35.764
2017/06/15 09:07:32,1069.667,27.043,35.660
2017/06/15 10:07:32,1069.258,26.980,35.532
2017/06/15 11:07:32,1068.558,26.933,35.444
2017/06/15 12:07:32,1067.392,26.920,35.304
2017/06/15 13:07:32,1066.108,26.950,35.116
2017/06/15 14:07:32,1064.533,27.033,35.000
2017/06/15 15:07:32,1062.375,27.183,34.920
2017/06/15 16:07:32,1062.083,27.350,35.092
2017/06/15 17:07:32,1078.125,27.583,35.804
2017/06/15 18:07:32,1084.483,27.787,36.048
2017/06/15 19:07:32,1077.425,28.053,36.000
2017/06/15 20:07:32,1067.975,28.257,35.912
2017/06/15 21:07:32,1067.392,28.360,35.920
2017/06/15 22:07:32,1067.217,28.487,35.856
2017/06/15 23:07:32,1066.808,28.550,35.788
2017/06/16 00:07:32,1065.817,28.563,35.700
2017/06/16 01:07:32,1064.358,28.533,35.660
2017/06/16 02:07:32,1063.775,28.470,35.600
2017/06/16 03:07:32,1062.083,28.383,35.552
2017/06/16 04:07:32,1061.325,28.267,35.504
2017/06/16 05:07:32,1061.208,28.143,35.472
2017/06/16 06:07:32,1061.500,28.017,35.496
2017/06/16 07:07:32,1079.000,27.903,35.912
2017/06/16 08:07:32,1077.133,27.843,35.904
2017/06/16 09:07:32,1068.383,27.757,35.840
2017/06/16 10:07:32,1065.700,27.673,35.824
2017/06/16 11:07:32,1065.233,27.613,35.808
2017/06/16 12:07:32,1063.950,27.573,35.724
2017/06/16 13:07:32,1063.192,27.573,35.680
2017/06/16 14:07:32,1061.792,27.647,35.640
2017/06/16 15:07:32,1060.042,27.803,35.548
2017/06/16 16:07:32,1058.175,27.987,35.488
2017/06/16 17:07:32,1056.483,28.170,35.516
2017/06/16 18:07:32,1056.192,28.310,35.620
2017/06/16 19:07:32,1064.067,28.433,35.936
2017/06/16 20:07:32,1064.533,28.620,35.920
2017/06/16 21:07:32,1063.367,28.653,35.952
2017/06/16 22:07:32,1062.783,28.720,35.868
2017/06/16 23:07:32,1062.492,28.713,35.844
2017/06/17 00:07:32,1061.908,28.673,35.764
2017/06/17 01:07:32,1060.800,28.603,35.768
2017/06/17 02:07:32,1059.633,28.513,35.720
2017/06/17 03:07:32,1058.875,28.407,35.688
2017/06/17 04:07:32,1058.175,28.297,35.704
2017/06/17 05:07:32,1057.592,28.190,35.700
2017/06/17 06:07:32,1057.883,28.090,35.696
2017/06/17 07:07:32,1074.567,27.777,36.120
2017/06/17 08:07:32,1078.592,27.757,36.332
2017/06/17 09:07:32,1070.133,27.623,36.244
2017/06/17 10:07:32,1065.525,27.643,36.268
2017/06/17 11:07:32,1064.942,27.650,36.252
2017/06/17 12:07:32,1064.242,27.637,36.232
2017/06/17 13:07:32,1063.075,27.653,36.168
2017/06/17 14:07:32,1061.792,27.740,36.096
