Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
42900.63,1071.008,26.49,35.864
42900.67,1086.642,26.333,36.264
42900.71,1090.667,26.523,36.432
42900.75,1084.308,26.793,36.38
42900.80,1074.567,27.043,36.192
42900.84,1070.658,27.197,36.268
42900.88,1070.133,27.383,36.24
42900.92,1069.783,27.527,36.172
42900.96,1069.667,27.617,36.008
42901.00,1069.258,27.663,35.776
42901.05,1068.208,27.67,35.584
42901.09,1067.217,27.64,35.424
42901.13,1066.05,27.58,35.324
42901.17,1065.525,27.503,35.292
42901.21,1065.525,27.407,35.312
42901.25,1076.842,27.3,35.832
42901.30,1079.292,27.23,35.908
42901.34,1071.533,27.137,35.764
42901.38,1069.667,27.043,35.66
42901.42,1069.258,26.98,35.532
42901.46,1068.558,26.933,35.444
42901.50,1067.392,26.92,35.304
42901.55,1066.108,26.95,35.116
42901.59,1064.533,27.033,35
42901.63,1062.375,27.183,34.92
42901.67,1062.083,27.35,35.092
42901.71,1078.125,27.583,35.804
42901.75,1084.483,27.787,36.048
42901.80,1077.425,28.053,36
42901.84,1067.975,28.257,35.912
42901.88,1067.392,28.36,35.92
42901.92,1067.217,28.487,35.856
42901.96,1066.808,28.55,35.788
42902.00,1065.817,28.563,35.7
42902.05,1064.358,28.533,35.66
42902.09,1063.775,28.47,35.6
42902.13,1062.083,28.383,35.552
42902.17,1061.325,28.267,35.504
42902.21,1061.208,28.143,35.472
42902.25,1061.5,28.017,35.496
42902.30,1079,27.903,35.912
42902.34,1077.133,27.843,35.904
42902.38,1068.383,27.757,35.84
42902.42,1065.7,27.673,35.824
42902.46,1065.233,27.613,35.808
42902.50,1063.95,27.573,35.724
42902.55,1063.192,27.573,35.68
42902.59,1061.792,27.647,35.64
42902.63,1060.042,27.803,35.548
42902.67,1058.175,27.987,35.488
42902.71,1056.483,28.17,35.516
42902.75,1056.192,28.31,35.62
42902.80,1064.067,28.433,35.936
42902.84,1064.533,28.62,35.92
42902.88,1063.367,28.653,35.952
42902.92,1062.783,28.72,35.868
42902.96,1062.492,28.713,35.844
42903.00,1061.908,28.673,35.764
42903.05,1060.8,28.603,35.768
42903.09,1059.633,28.513,35.72
42903.13,1058.875,28.407,35.688
42903.17,1058.175,28.297,35.704
42903.21,1057.592,28.19,35.7
42903.25,1057.883,28.09,35.696
42903.30,1074.567,27.777,36.12
42903.34,1078.592,27.757,36.332
42903.38,1070.133,27.623,36.244
42903.42,1065.525,27.643,36.268
42903.46,1064.942,27.65,36.252
42903.50,1064.242,27.637,36.232
42903.55,1063.075,27.653,36.168
42903.59,1061.792,27.74,36.096
42903.63,1060.625,27.913,36.104
42903.67,1058.175,28.127,36.124
42903.71,1057.183,28.337,36.148
42903.75,1055.783,28.517,36.156
42903.80,1055.725,28.647,36.204
42903.84,1060.042,28.653,36.476
42903.88,1067.8,28.827,36.704
42903.92,1065.058,28.853,36.712
42903.96,1064.65,28.87,36.708
42904.00,1063.658,28.827,36.648
42904.05,1062.492,28.727,36.616
42904.09,1061.617,28.523,36.584
42904.13,1060.508,28.303,36.488
42904.17,1059.342,28.127,36.516
42904.21,1058.758,27.99,36.524
42904.25,1058.933,27.873,36.556
42904.30,1059.633,27.743,36.552
42904.34,1070.133,27.55,36.824
42904.38,1080.167,27.487,37.1
42904.42,1079.875,27.523,37.152
42904.46,1068.675,27.53,37.108
42904.50,1066.342,27.563,37.156
42904.55,1065.233,27.6,37.16
42904.59,1063.95,27.69,37.164
42904.63,1062.083,27.883,37.168
42904.67,1060.042,28.143,37.18
42904.71,1058.758,28.407,37.196
42904.75,1057.067,28.62,37.204
42904.80,1056.892,28.777,37.216
42904.84,1057.183,28.88,37.224
42904.88,1068.383,28.913,37.52
42904.92,1081.567,28.88,37.652
42904.96,1071.65,28.96,37.656
42905.00,1067.217,28.89,37.648
42905.05,1066.633,28.857,37.664
42905.09,1065.642,28.803,37.668
42905.13,1064.942,28.69,37.664
42905.17,1063.775,28.507,37.672
42905.21,1063.075,28.227,37.616
42905.25,1062.492,28.023,37.536
42905.30,1062.375,27.887,37.54
42905.34,1067.275,27.797,37.552
42905.38,1090.608,27.877,37.86
42905.42,1098.075,27.88,37.864
42905.46,1096.092,27.857,37.908
42905.50,1085.767,27.83,37.864
42905.55,1072.7,27.82,37.832
42905.59,1066.808,27.82,37.824
42905.63,1066.517,27.827,37.828
42905.67,1065.933,27.843,37.804
42905.71,1065.35,27.863,37.804
42905.75,1065.058,27.88,37.724
42905.80,1068.383,27.887,37.692
42905.84,1068.558,27.857,37.76
42905.88,1067.975,27.767,37.84
42905.92,1067.975,27.637,37.828
42905.96,1076.317,27.603,37.904
42906.00,1079.583,27.557,38.012
42906.05,1074.683,27.493,38
42906.09,1070.25,27.453,38.02
42906.13,1067.508,27.41,37.992
42906.17,1066.692,27.36,37.944
42906.21,1066.225,27.243,37.92
42906.25,1065.933,27.113,37.868
42906.30,1065.525,26.967,37.824
42906.34,1065.817,26.827,37.632
42906.38,1067.1,26.793,37.652
42906.42,1078.417,26.933,37.904
42906.46,1089.908,26.96,38.128
42906.50,1092.65,26.917,38.176
42906.55,1087.225,26.88,38.2
42906.59,1074.858,26.84,38.092
42906.63,1066.925,26.84,38.06
42906.67,1066.108,26.843,38.064
42906.71,1065.058,26.857,38.02
42906.75,1064.242,26.887,37.94
42906.80,1064.358,26.933,37.916
42906.84,1063.95,26.983,37.852
42906.88,1063.833,27.03,37.78
42906.92,1063.95,27.06,37.696
42906.96,1063.95,27.077,37.68
42907.00,1064.65,27.07,37.732
42907.05,1073.108,27.05,37.956
42907.09,1080.458,27.02,38.128
42907.13,1068.792,26.99,38.02
42907.17,1066.108,26.95,38.032
42907.21,1065.642,26.91,38.008
42907.25,1065.117,26.877,37.968
42907.30,1065.117,26.837,37.876
42907.34,1065.408,26.79,37.828
42907.38,1070.425,26.75,37.92
42907.42,1090.083,26.71,38.308
42907.46,1103.325,26.673,38.432
42907.50,1106.708,26.637,38.452
42907.55,1105.133,26.62,38.48
42907.59,1090.667,26.623,38.424
42907.63,1076.433,26.653,38.372
42907.67,1067.392,26.69,38.328
42907.71,1066.517,26.737,38.304
42907.75,1066.108,26.803,38.212
42907.80,1066.808,26.883,38.072
42907.84,1066.808,26.973,37.824
42907.88,1066.4,27.057,37.516
42907.92,1066.225,27.107,37.224
42907.96,1066.108,27.127,37
42908.00,1066.517,27.107,36.956
42908.05,1066.517,27.053,37.32
42908.09,1078.008,27,38.116
42908.13,1074.45,26.95,38.08
42908.17,1068.558,26.883,38.028
42908.21,1067.683,26.817,37.92
42908.25,1067.392,26.737,37.692
42908.30,1067.508,26.643,37.4
42908.34,1067.508,26.53,37.044
42908.38,1067.683,26.447,36.804
42908.42,1074.567,26.46,37.452
42908.46,1092.533,26.47,38.32
42908.50,1110.558,26.473,38.66
42908.55,1111.842,26.477,38.692
42908.59,1097.958,26.53,38.544
42908.63,1081.45,26.637,38.196
42908.67,1069.142,26.747,37.86
42908.71,1068.267,26.847,37.864
42908.75,1067.217,26.99,37.532
42908.80,1066.808,27.14,37.108
42908.84,1066.517,27.273,36.652
42908.88,1066.4,27.377,36.2
42908.92,1066.517,27.45,35.752
42908.96,1066.4,27.487,35.404
42909.00,1066.108,27.48,35.3
42909.05,1066.225,27.453,35.428
42909.09,1078.008,27.39,37.12
42909.13,1078.592,27.37,37.32
42909.17,1068.267,27.333,36.844
42909.21,1067.508,27.287,36.792
42909.25,1067.392,27.253,36.492
42909.30,1067.217,27.2,36.208
42909.34,1066.808,27.127,35.972
42909.38,1066.808,27.047,35.796
42909.42,1066.517,26.993,35.712
42909.46,1078.008,26.97,36.676
42909.50,1097.842,26.953,37.932
42909.55,1109.1,26.977,38.376
