Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 13/03/2018
TIME       : 15:07:24
FILENAME   : C:\Users\melimore86\Desktop\MON\CSV\sws_r4846_180313150724.CSV
CREATED BY : Diver-Office 9.2.0.17
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..13-R4846  317.
  Instrument number       =UTC-4
                          =0
  Location                =sws_r4846
  Sample period           =M60
  Sample method           =T
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..13-R4846  317.
  Instrument number       =UTC-4
  Location                =sws_r4846
  Sample period           =00 00:60:00 0
  Sample method           =T
  Start date / time       =11:46:16 08/06/17
  End date / time         =11:46:09 31/10/17
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
2017/06/08 16:46:11,1025.217,80.000,0.000
2017/06/08 17:46:11,1025.217,80.000,0.000
2017/06/08 18:46:11,1022.650,80.000,0.000
2017/06/08 19:46:11,1023.467,80.000,0.000
2017/06/08 20:46:11,1023.817,80.000,0.000
2017/06/08 21:46:11,1024.225,80.000,0.000
2017/06/08 22:46:11,1024.633,80.000,0.000
2017/06/08 23:46:11,1024.808,80.000,0.000
2017/06/09 00:46:11,1024.808,80.000,0.000
2017/06/09 01:46:11,1024.983,80.000,0.000
2017/06/09 02:46:11,1024.808,80.000,0.000
2017/06/09 03:46:11,1024.983,80.000,0.000
2017/06/09 04:46:11,1024.808,80.000,0.000
2017/06/09 05:46:11,1025.567,80.000,0.000
2017/06/09 06:46:11,1026.383,80.000,0.000
2017/06/09 07:46:11,1026.150,80.000,0.000
2017/06/09 08:46:11,1030.408,80.000,0.000
2017/06/09 09:46:11,1031.808,80.000,0.000
2017/06/09 10:46:11,1033.908,80.000,0.000
2017/06/09 11:46:11,1034.142,80.000,0.000
2017/06/09 12:46:11,1096.850,80.000,23.116
2017/06/09 13:46:11,1105.658,80.000,23.096
2017/06/09 14:46:11,1098.833,80.000,23.096
2017/06/09 15:46:11,1089.675,80.000,23.124
2017/06/09 16:46:11,1085.767,80.000,23.132
2017/06/09 17:46:11,1085.008,80.000,23.128
2017/06/09 18:46:11,1084.833,80.000,23.152
2017/06/09 19:46:11,1084.600,80.000,23.172
2017/06/09 20:46:11,1084.600,80.000,23.180
2017/06/09 21:46:11,1085.008,80.000,23.216
