Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 13/03/2018
TIME       : 15:08:57
FILENAME   : C:\Users\melimore86\Desktop\MON\CSV\vei_v1284_180313150857.CSV
CREATED BY : Diver-Office 9.2.0.17
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..05-V1284  317.
  Instrument number       =UTC-4
                          =0
  Location                =vei_v1284
  Sample period           =M60
  Sample method           =T
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..05-V1284  317.
  Instrument number       =UTC-4
  Location                =vei_v1284
  Sample period           =00 00:60:00 0
  Sample method           =T
  Start date / time       =00:00:17 06/06/17
  End date / time         =00:00:12 12/10/17
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
2017/06/06 17:00:00,1022.708,24.723,0.000
2017/06/06 18:00:00,1020.550,21.193,0.000
2017/06/06 19:00:00,1024.342,22.710,0.000
2017/06/06 20:00:00,1021.308,24.467,0.000
2017/06/06 21:00:00,1021.308,25.133,0.000
2017/06/06 22:00:00,1022.067,25.123,0.000
2017/06/06 23:00:00,1023.000,25.213,0.000
2017/06/07 00:00:00,1022.883,25.237,0.000
2017/06/07 01:00:00,1022.358,25.190,0.000
2017/06/07 02:00:00,1021.892,25.067,0.000
2017/06/07 03:00:00,1021.425,24.883,0.000
2017/06/07 04:00:00,1020.958,24.667,0.000
2017/06/07 05:00:00,1020.550,24.477,0.000
2017/06/07 06:00:00,1020.492,24.307,0.000
2017/06/07 07:00:00,1021.133,24.157,0.000
2017/06/07 08:00:00,1020.958,23.727,0.000
2017/06/07 09:00:00,1024.167,23.557,0.000
2017/06/07 10:00:00,1027.142,24.293,0.000
2017/06/07 11:00:00,1027.083,26.353,0.000
2017/06/07 12:00:00,1025.975,27.207,0.000
2017/06/07 13:00:00,1027.725,28.037,0.000
2017/06/07 14:00:00,1026.500,32.880,0.000
2017/06/07 15:00:00,1078.650,26.210,38.536
2017/06/07 16:00:00,1063.775,26.227,37.756
2017/06/07 17:00:00,1055.842,26.290,37.332
2017/06/07 18:00:00,1056.192,26.333,37.300
2017/06/07 19:00:00,1056.658,26.450,37.248
2017/06/07 20:00:00,1056.833,26.533,37.164
2017/06/07 21:00:00,1056.833,26.543,37.096
2017/06/07 22:00:00,1056.483,26.483,37.040
2017/06/07 23:00:00,1055.842,26.353,37.016
2017/06/08 00:00:00,1055.258,26.167,37.072
2017/06/08 01:00:00,1054.442,26.037,37.192
2017/06/08 02:00:00,1055.725,26.000,37.336
2017/06/08 03:00:00,1059.167,26.000,37.464
2017/06/08 04:00:00,1054.908,25.913,37.296
2017/06/08 05:00:00,1053.042,25.853,37.284
2017/06/08 06:00:00,1052.575,25.770,37.244
2017/06/08 07:00:00,1052.050,25.690,37.200
2017/06/08 08:00:00,1051.642,25.533,37.164
2017/06/08 09:00:00,1051.642,25.347,37.040
2017/06/08 10:00:00,1051.758,25.330,37.080
2017/06/08 11:00:00,1051.117,25.360,37.156
2017/06/08 12:00:00,1052.575,25.413,37.132
2017/06/08 13:00:00,1067.100,25.517,37.748
2017/06/08 14:00:00,1063.308,25.587,37.624
2017/06/08 15:00:00,1055.550,25.700,37.580
2017/06/08 16:00:00,1053.858,25.820,37.516
2017/06/08 17:00:00,1053.333,25.977,37.504
2017/06/08 18:00:00,1053.158,26.090,37.296
2017/06/08 19:00:00,1052.867,26.150,37.120
2017/06/08 20:00:00,1052.867,26.160,36.960
2017/06/08 21:00:00,1052.575,26.113,36.600
2017/06/08 22:00:00,1051.933,26.020,36.232
2017/06/08 23:00:00,1051.758,25.893,36.004
2017/06/09 00:00:00,1051.292,25.740,35.880
2017/06/09 01:00:00,1051.117,25.577,35.968
2017/06/09 02:00:00,1051.117,25.427,36.240
2017/06/09 03:00:00,1050.650,25.297,36.536
2017/06/09 04:00:00,1050.533,25.167,36.660
2017/06/09 05:00:00,1050.650,25.033,36.732
2017/06/09 06:00:00,1050.358,24.897,36.668
2017/06/09 07:00:00,1051.000,24.757,36.612
2017/06/09 08:00:00,1051.000,24.613,36.608
2017/06/09 09:00:00,1050.825,24.470,36.612
2017/06/09 10:00:00,1049.892,24.393,36.580
2017/06/09 11:00:00,1049.425,24.440,36.584
2017/06/09 12:00:00,1049.542,24.593,36.876
2017/06/09 13:00:00,1071.825,24.900,38.216
2017/06/09 14:00:00,1082.092,25.220,38.848
2017/06/09 15:00:00,1073.867,25.757,38.532
2017/06/09 16:00:00,1063.133,26.237,37.648
2017/06/09 17:00:00,1057.300,26.377,37.272
2017/06/09 18:00:00,1056.192,26.557,36.952
2017/06/09 19:00:00,1055.842,26.730,36.688
2017/06/09 20:00:00,1055.550,26.810,36.532
2017/06/09 21:00:00,1055.842,26.800,36.400
2017/06/09 22:00:00,1055.725,26.730,36.304
2017/06/09 23:00:00,1055.375,26.600,36.260
2017/06/10 00:00:00,1054.733,26.397,36.224
2017/06/10 01:00:00,1053.975,26.153,36.168
2017/06/10 02:00:00,1053.508,25.913,36.156
2017/06/10 03:00:00,1053.333,25.710,36.148
2017/06/10 04:00:00,1053.217,25.513,36.196
2017/06/10 05:00:00,1053.217,25.317,36.180
2017/06/10 06:00:00,1053.217,25.130,36.176
2017/06/10 07:00:00,1053.508,24.957,36.068
