Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
42893.63,1078.65,26.21,38.536
42893.67,1063.775,26.227,37.756
42893.71,1055.842,26.29,37.332
42893.75,1056.192,26.333,37.3
42893.79,1056.658,26.45,37.248
42893.83,1056.833,26.533,37.164
42893.88,1056.833,26.543,37.096
42893.92,1056.483,26.483,37.04
42893.96,1055.842,26.353,37.016
42894.00,1055.258,26.167,37.072
42894.04,1054.442,26.037,37.192
42894.08,1055.725,26,37.336
42894.13,1059.167,26,37.464
42894.17,1054.908,25.913,37.296
42894.21,1053.042,25.853,37.284
42894.25,1052.575,25.77,37.244
42894.29,1052.05,25.69,37.2
42894.33,1051.642,25.533,37.164
42894.38,1051.642,25.347,37.04
42894.42,1051.758,25.33,37.08
42894.46,1051.117,25.36,37.156
42894.50,1052.575,25.413,37.132
42894.54,1067.1,25.517,37.748
42894.58,1063.308,25.587,37.624
42894.63,1055.55,25.7,37.58
42894.67,1053.858,25.82,37.516
42894.71,1053.333,25.977,37.504
42894.75,1053.158,26.09,37.296
42894.79,1052.867,26.15,37.12
42894.83,1052.867,26.16,36.96
42894.88,1052.575,26.113,36.6
42894.92,1051.933,26.02,36.232
42894.96,1051.758,25.893,36.004
42895.00,1051.292,25.74,35.88
42895.04,1051.117,25.577,35.968
42895.08,1051.117,25.427,36.24
42895.13,1050.65,25.297,36.536
42895.17,1050.533,25.167,36.66
42895.21,1050.65,25.033,36.732
42895.25,1050.358,24.897,36.668
42895.29,1051,24.757,36.612
42895.33,1051,24.613,36.608
42895.38,1050.825,24.47,36.612
42895.42,1049.892,24.393,36.58
42895.46,1049.425,24.44,36.584
42895.50,1049.542,24.593,36.876
42895.54,1071.825,24.9,38.216
42895.58,1082.092,25.22,38.848
42895.63,1073.867,25.757,38.532
42895.67,1063.133,26.237,37.648
42895.71,1057.3,26.377,37.272
42895.75,1056.192,26.557,36.952
42895.79,1055.842,26.73,36.688
42895.83,1055.55,26.81,36.532
42895.88,1055.842,26.8,36.4
42895.92,1055.725,26.73,36.304
42895.96,1055.375,26.6,36.26
42896.00,1054.733,26.397,36.224
42896.04,1053.975,26.153,36.168
42896.08,1053.508,25.913,36.156
42896.13,1053.333,25.71,36.148
42896.17,1053.217,25.513,36.196
42896.21,1053.217,25.317,36.18
42896.25,1053.217,25.13,36.176
42896.29,1053.508,24.957,36.068
42896.33,1053.508,24.81,35.68
42896.38,1053.217,24.757,35.748
42896.42,1052.867,24.803,35.904
42896.46,1052.75,24.923,35.988
42896.50,1052.75,25.063,35.896
42896.54,1070.6,25.277,38.048
42896.58,1087.167,25.547,38.912
42896.63,1086.7,25.977,38.888
42896.67,1078.65,26.437,38.42
42896.71,1065.058,27.027,36.988
42896.75,1060.275,27.05,36.692
42896.79,1060.567,27.16,36.524
42896.83,1060.625,27.263,36.348
42896.88,1059.633,27.297,36.248
42896.92,1059.517,27.26,36.156
42896.96,1059.983,27.17,36.156
42897.00,1059.342,27.023,36.152
42897.04,1058.525,26.833,36.124
42897.08,1058.408,26.63,36.12
42897.13,1058.058,26.45,36.136
42897.17,1066.167,26.38,36.52
42897.21,1069.433,26.26,36.772
42897.25,1064.125,25.913,36.604
42897.29,1063.017,25.68,36.328
42897.33,1062.492,25.527,36.176
42897.38,1062.492,25.597,36.24
42897.42,1062.375,25.713,36.3
42897.46,1062.025,25.797,36.296
42897.50,1061.558,25.92,36.304
42897.54,1061.092,26.087,36.316
42897.58,1076.55,26.283,37.372
42897.63,1086.992,26.607,38.084
42897.67,1085.242,27.033,38.092
42897.71,1073.867,27.66,37.088
42897.75,1065.642,27.747,36.608
42897.79,1065,27.723,36.484
42897.83,1064.708,27.763,36.408
42897.88,1064.242,27.7,36.38
42897.92,1063.775,27.403,36.392
42897.96,1063.6,27.053,36.36
42898.00,1063.6,26.843,36.416
42898.04,1063.308,26.653,36.432
42898.08,1062.375,26.503,36.44
42898.13,1061.267,26.367,36.408
42898.17,1060.917,26.257,36.412
42898.21,1061.267,26.14,36.444
42898.25,1061.267,26.003,36.432
42898.29,1061.267,25.887,36.464
42898.33,1061.267,25.81,36.46
42898.38,1061.267,25.767,36.432
42898.42,1060.917,25.763,36.38
42898.46,1060.45,25.777,36.376
42898.50,1060.625,25.787,36.356
42898.54,1059.983,25.85,36.376
42898.58,1059.167,25.927,36.392
42898.63,1071.067,26.017,36.876
42898.67,1077.075,26.133,37.048
42898.71,1072.758,26.29,36.88
42898.75,1062.958,26.46,36.456
42898.79,1061.733,26.51,36.38
42898.83,1061.267,26.583,36.216
42898.88,1060.742,26.627,36.076
42898.92,1060.625,26.607,36.02
42898.96,1060.45,26.523,35.952
42899.00,1059.517,26.387,35.936
42899.04,1058.408,26.223,35.904
42899.08,1057.475,26.013,35.868
42899.13,1056.658,25.8,35.808
42899.17,1056.658,25.66,35.828
42899.21,1058.583,25.71,36.18
42899.25,1060.158,25.35,35.996
42899.29,1059.808,25.197,35.752
42899.33,1059.808,25.15,35.728
42899.38,1060.275,25.163,35.696
42899.42,1059.983,25.207,35.708
42899.46,1059.342,25.307,35.704
42899.50,1058.233,25.39,35.708
42899.54,1057.008,25.53,35.708
42899.58,1056.192,25.76,35.736
42899.63,1069.492,25.95,36.556
42899.67,1079.117,26.217,37.092
42899.71,1080.692,26.553,37.132
42899.75,1073.108,26.98,36.704
42899.79,1063.6,27.31,35.86
42899.83,1061.092,27.287,35.844
42899.88,1061.092,27.363,35.692
42899.92,1060.625,27.35,35.648
42899.96,1060.158,27.22,35.576
42900.00,1059.342,26.98,35.5
42900.04,1058.233,26.67,35.392
42900.08,1056.95,26.297,35.216
42900.13,1056.017,26.12,35.252
42900.17,1055.375,25.943,35.24
42900.21,1055.433,25.75,35.252
42900.25,1065.058,25.857,36.012
42900.29,1067.1,25.463,35.92
42900.33,1062.55,25.137,35.428
42900.38,1061.558,25.2,35.272
42900.42,1061.383,25.38,35.24
42900.46,1060.917,25.547,35.272
42900.50,1060.333,25.737,35.26
42900.54,1059.808,26.113,35.264
42900.63,1076.258,26.05,38.6
42900.67,1093.992,25.913,38.972
42900.71,1100.758,25.973,39.1
42900.75,1095.217,26.083,38.876
42900.79,1085.242,26.217,38.78
42900.83,1080.05,26.33,38.808
42900.88,1079.583,26.477,38.704
42900.92,1079.408,26.607,38.804
42900.96,1079.233,26.72,38.808
42901.00,1078.767,26.823,38.696
42901.04,1077.833,26.897,38.544
42901.08,1076.9,26.947,38.416
42901.13,1075.792,26.973,38.328
42901.17,1074.975,26.977,38.272
42901.21,1074.8,26.963,38.248
42901.25,1085.125,26.92,38.444
42901.29,1088.275,26.913,38.472
42901.33,1081.8,26.897,38.384
42901.38,1079.117,26.867,38.344
42901.42,1078.475,26.833,38.196
42901.46,1078.3,26.787,38.12
42901.50,1077.075,26.757,38.012
42901.54,1075.967,26.73,37.856
42901.58,1074.333,26.723,37.768
42901.63,1072,26.74,37.656
42901.67,1071.183,26.777,37.764
42901.71,1085.592,26.843,38.016
42901.75,1092.883,26.96,38.152
42901.79,1088.45,27.1,38.112
42901.83,1078.3,27.24,38.076
42901.88,1076.9,27.347,38.072
42901.92,1076.433,27.48,38
42901.96,1076.258,27.58,37.92
