Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
42895.70,1081.333,26.237,11.18
42895.74,1077.367,25.537,11.96
42895.78,1072.467,25.46,12.188
42895.82,1068.675,25.437,12.568
42895.87,1069.2,25.427,12.64
42895.91,1069.725,25.433,12.588
42895.95,1070.192,25.44,12.676
42895.99,1070.367,25.457,12.572
42896.03,1069.842,25.47,12.432
42896.07,1069.55,25.493,12.476
42896.12,1069.2,25.513,12.448
42896.16,1069.2,25.533,12.444
42896.20,1069.2,25.55,12.46
42896.24,1069.55,25.567,12.456
42896.28,1070.192,25.57,12.464
42896.32,1070.658,25.573,12.432
42896.37,1070.833,25.567,12.472
42896.41,1070.833,25.567,12.488
42896.45,1070.658,25.57,12.704
42896.49,1070.192,25.58,12.916
42896.53,1069.55,25.583,13.076
42896.57,1074.917,25.58,13.2
42896.62,1086.7,25.587,13.308
42896.66,1093.233,25.583,13.368
42896.70,1090.317,25.583,13.46
42896.74,1085.242,25.587,13.588
42896.78,1080.517,25.593,14.524
42896.82,1076.083,25.607,14.072
42896.87,1071.183,25.63,14.18
42896.91,1071.008,25.653,14.4
42896.95,1071.65,25.683,14.652
42896.99,1071.65,25.72,15.068
42897.03,1071.3,25.75,15
42897.07,1071.475,25.783,15.072
42897.12,1071.183,25.817,15.16
42897.16,1071.358,25.843,15.256
42897.20,1076.55,25.867,15.376
42897.24,1079.992,25.89,15.452
42897.28,1077.25,25.91,15.876
42897.32,1073.75,25.923,16.372
42897.37,1073.808,25.933,16.536
42897.41,1074.1,25.937,16.888
42897.45,1073.925,25.94,16.188
42897.49,1073.925,25.947,16.236
42897.53,1073.283,25.947,16.288
42897.57,1074.45,25.943,16.388
42897.62,1081.625,25.937,16.496
42897.66,1090.783,25.93,16.528
42897.70,1093.117,25.943,16.6
42897.74,1088.042,25.95,16.716
42897.78,1083.258,25.96,16.808
42897.82,1079.7,25.97,17.032
42897.87,1075.908,25.99,17.16
42897.91,1073.75,26.013,17.22
42897.95,1073.75,26.037,17.364
42897.99,1073.925,26.063,18.636
42898.03,1073.633,26.09,19.74
42898.07,1072.817,26.12,20.264
42898.12,1072.292,26.14,20.752
42898.16,1072,26.16,20.948
42898.20,1072.175,26.173,21.104
42898.24,1074.1,26.18,21.656
42898.28,1073.108,26.19,22.008
42898.32,1073.458,26.19,22.336
42898.37,1073.75,26.19,22.488
42898.41,1073.925,26.183,22.636
42898.45,1073.925,26.173,22.816
42898.49,1073.75,26.17,22.968
42898.53,1073.458,26.16,23.044
42898.57,1072.992,26.15,23.52
42898.62,1072.817,26.143,23.624
42898.66,1079.642,26.14,23.832
42898.70,1086.408,26.127,23.968
42898.74,1084.425,26.12,24.004
42898.78,1079.35,26.113,24.008
42898.82,1074.917,26.11,23.992
42898.87,1071.475,26.107,23.984
42898.91,1071.825,26.107,23.984
42898.95,1072,26.113,23.984
42898.99,1071.65,26.117,23.996
42899.03,1070.833,26.123,23.976
42899.07,1070.367,26.13,23.976
42899.12,1070.017,26.133,23.976
42899.16,1070.017,26.137,23.964
42899.20,1070.308,26.133,23.96
42899.24,1071.3,26.127,23.956
42899.28,1072,26.12,23.948
42899.32,1072.175,26.107,23.94
42899.37,1072.467,26.093,23.944
42899.41,1072.467,26.073,23.928
42899.45,1072.467,26.057,23.916
42899.49,1071.825,26.04,23.92
42899.53,1071.125,26.027,23.916
42899.57,1071.183,26.013,23.9
42899.62,1069.842,26,23.892
42899.66,1075.267,25.993,23.924
42899.70,1085.592,25.977,23.94
42899.74,1089.792,25.973,23.944
42899.78,1085.708,25.97,23.936
42899.82,1081.625,25.97,23.924
42899.87,1077.367,25.973,23.908
42899.91,1072.642,25.99,23.904
42899.95,1071.008,26.007,23.868
42899.99,1070.833,26.027,23.876
42900.03,1070.192,26.05,23.86
42900.07,1069.667,26.07,23.86
42900.12,1069.2,26.093,23.864
42900.16,1068.675,26.113,23.848
