Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 13/03/2018
TIME       : 15:06:49
FILENAME   : C:\Users\melimore86\Desktop\MON\CSV\sws_r3363_180313150649.CSV
CREATED BY : Diver-Office 9.2.0.17
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..14-R3363  317.
  Instrument number       =UTC-4
                          =0
  Location                =sws_r3363
  Sample period           =M60
  Sample method           =T
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..14-R3363  317.
  Instrument number       =UTC-4
  Location                =sws_r3363
  Sample period           =00 00:60:00 0
  Sample method           =T
  Start date / time       =19:51:16 08/06/17
  End date / time         =19:51:14 12/10/17
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
2017/06/08 16:51:19,1028.717,26.860,0.008
2017/06/08 17:51:19,1028.892,26.653,0.012
2017/06/08 18:51:19,1027.083,25.120,0.012
2017/06/08 19:51:19,1026.908,24.630,0.008
2017/06/08 20:51:19,1027.258,25.050,0.008
2017/06/08 21:51:19,1027.842,25.130,0.008
2017/06/08 22:51:19,1028.367,25.130,0.008
2017/06/08 23:51:19,1028.542,25.003,0.008
2017/06/09 00:51:19,1028.542,24.817,0.008
2017/06/09 01:51:19,1028.542,24.633,0.008
2017/06/09 02:51:19,1028.367,24.477,0.008
2017/06/09 03:51:19,1028.367,24.323,0.008
2017/06/09 04:51:19,1028.367,24.170,0.008
2017/06/09 05:51:19,1029.125,24.013,0.008
2017/06/09 06:51:19,1029.825,24.003,0.008
2017/06/09 07:51:19,1029.883,22.123,0.012
2017/06/09 08:51:19,1033.617,26.103,0.016
2017/06/09 09:51:19,1034.958,31.137,0.024
2017/06/09 10:51:19,1037.817,35.573,0.028
2017/06/09 11:51:19,1080.283,25.707,120.000
2017/06/09 12:51:19,1080.108,25.510,120.000
2017/06/09 13:51:19,1091.017,25.457,120.000
2017/06/09 14:51:19,1085.417,25.417,120.000
2017/06/09 15:51:19,1079.408,25.387,120.000
2017/06/09 16:51:19,1078.475,25.367,120.000
2017/06/09 17:51:19,1077.542,25.363,120.000
2017/06/09 18:51:19,1077.192,25.393,120.000
2017/06/09 19:51:19,1077.367,25.443,120.000
2017/06/09 20:51:19,1077.367,25.500,120.000
2017/06/09 21:51:19,1078.125,25.570,120.000
2017/06/09 22:51:19,1078.300,25.633,120.000
2017/06/09 23:51:19,1077.892,25.693,120.000
2017/06/10 00:51:19,1077.717,25.750,120.000
2017/06/10 01:51:19,1077.192,25.783,120.000
2017/06/10 02:51:19,1077.017,25.807,120.000
2017/06/10 03:51:19,1077.017,25.813,120.000
2017/06/10 04:51:19,1077.542,25.810,120.000
2017/06/10 05:51:19,1077.950,25.800,120.000
2017/06/10 06:51:19,1078.300,25.767,120.000
2017/06/10 07:51:19,1078.825,25.720,120.000
2017/06/10 08:51:19,1078.825,25.663,120.000
2017/06/10 09:51:19,1078.475,25.613,120.000
2017/06/10 10:51:19,1077.717,25.577,120.000
2017/06/10 11:51:19,1076.667,25.577,120.000
2017/06/10 12:51:19,1075.208,25.587,120.000
2017/06/10 13:51:19,1093.233,25.573,120.000
2017/06/10 14:51:19,1096.500,25.577,120.000
2017/06/10 15:51:19,1093.583,25.580,120.000
2017/06/10 16:51:19,1082.500,25.593,120.000
2017/06/10 17:51:19,1080.108,25.620,120.000
2017/06/10 18:51:19,1081.042,25.687,120.000
2017/06/10 19:51:19,1081.392,25.787,120.000
2017/06/10 20:51:19,1081.217,25.887,120.000
2017/06/10 21:51:19,1081.217,25.987,120.000
2017/06/10 22:51:19,1081.742,26.070,120.000
2017/06/10 23:51:19,1081.917,26.150,120.000
2017/06/11 00:51:19,1081.742,26.223,120.000
2017/06/11 01:51:19,1081.392,26.277,120.000
2017/06/11 02:51:19,1081.392,26.317,120.000
2017/06/11 03:51:19,1081.392,26.320,120.000
2017/06/11 04:51:19,1082.500,26.313,120.000
2017/06/11 05:51:19,1082.500,26.313,120.000
2017/06/11 06:51:19,1083.200,26.337,120.000
2017/06/11 07:51:19,1083.375,26.343,120.000
2017/06/11 08:51:19,1084.133,26.337,120.000
2017/06/11 09:51:19,1084.133,26.317,120.000
2017/06/11 10:51:19,1084.133,26.290,120.000
2017/06/11 11:51:19,1083.550,26.267,120.000
2017/06/11 12:51:19,1082.325,26.237,120.000
2017/06/11 13:51:19,1082.850,26.207,120.000
2017/06/11 14:51:19,1095.975,26.207,120.000
2017/06/11 15:51:19,1097.958,26.187,120.000
2017/06/11 16:51:19,1086.292,26.180,120.000
2017/06/11 17:51:19,1083.958,26.197,120.000
2017/06/11 18:51:19,1083.725,26.247,120.000
2017/06/11 19:51:19,1083.375,26.320,120.000
2017/06/11 20:51:19,1083.958,26.387,120.000
2017/06/11 21:51:19,1084.483,26.443,120.000
2017/06/11 22:51:19,1085.183,26.500,120.000
2017/06/11 23:51:19,1085.008,26.537,120.000
2017/06/12 00:51:19,1085.008,26.570,120.000
2017/06/12 01:51:19,1084.133,26.590,120.000
2017/06/12 02:51:19,1083.550,26.593,120.000
2017/06/12 03:51:19,1083.550,26.590,120.000
2017/06/12 04:51:19,1083.550,26.573,120.000
2017/06/12 05:51:19,1083.550,26.547,120.000
2017/06/12 06:51:19,1083.958,26.533,120.000
2017/06/12 07:51:19,1084.308,26.507,120.000
2017/06/12 08:51:19,1085.008,26.473,120.000
2017/06/12 09:51:19,1085.417,26.437,120.000
2017/06/12 10:51:19,1085.417,26.397,120.000
2017/06/12 11:51:19,1085.417,26.353,120.000
2017/06/12 12:51:19,1085.417,26.313,120.000
2017/06/12 13:51:19,1084.658,26.283,120.000
2017/06/12 14:51:19,1084.133,26.253,120.000
2017/06/12 15:51:19,1086.467,26.227,120.000
2017/06/12 16:51:19,1083.025,26.203,120.000
2017/06/12 17:51:19,1082.267,26.183,120.000
2017/06/12 18:51:19,1082.092,26.177,120.000
2017/06/12 19:51:19,1082.092,26.170,120.000
2017/06/12 20:51:19,1082.092,26.170,120.000
2017/06/12 21:51:19,1082.267,26.177,120.000
2017/06/12 22:51:19,1082.850,26.180,120.000
2017/06/12 23:51:19,1082.675,26.187,120.000
2017/06/13 00:51:19,1082.092,26.190,120.000
2017/06/13 01:51:19,1081.392,26.193,120.000
2017/06/13 02:51:19,1081.217,26.190,120.000
2017/06/13 03:51:19,1081.567,26.183,120.000
2017/06/13 04:51:19,1081.742,26.167,120.000
2017/06/13 05:51:19,1081.917,26.150,120.000
2017/06/13 06:51:19,1082.092,26.127,120.000
2017/06/13 07:51:19,1082.850,26.077,120.000
2017/06/13 08:51:19,1083.200,26.023,120.000
2017/06/13 09:51:19,1083.375,25.973,120.000
2017/06/13 10:51:19,1083.375,25.937,120.000
2017/06/13 11:51:19,1082.850,25.907,120.000
2017/06/13 12:51:19,1082.092,25.890,120.000
2017/06/13 13:51:19,1082.267,25.890,120.000
2017/06/13 14:51:19,1081.042,25.890,120.000
2017/06/13 15:51:19,1089.558,25.893,120.000
2017/06/13 16:51:19,1095.625,25.893,120.000
2017/06/13 17:51:19,1088.683,25.890,120.000
2017/06/13 18:51:19,1080.458,25.900,120.000
2017/06/13 19:51:19,1080.808,25.940,120.000
2017/06/13 20:51:19,1081.392,26.003,120.000
2017/06/13 21:51:19,1081.567,26.073,120.000
2017/06/13 22:51:19,1081.917,26.150,120.000
2017/06/13 23:51:19,1081.392,26.217,120.000
2017/06/14 00:51:19,1080.808,26.273,120.000
2017/06/14 01:51:19,1080.283,26.317,120.000
2017/06/14 02:51:19,1079.933,26.343,120.000
2017/06/14 03:51:19,1079.408,26.360,120.000
2017/06/14 04:51:19,1079.583,26.360,120.000
2017/06/14 05:51:19,1079.933,26.347,120.000
2017/06/14 06:51:19,1084.133,26.320,120.000
2017/06/14 07:51:19,1081.742,26.300,120.000
2017/06/14 08:51:19,1081.917,26.273,120.000
2017/06/14 09:51:19,1082.500,26.227,113.964
2017/06/14 10:51:19,1081.742,26.187,63.380
2017/06/14 11:51:19,1081.217,26.167,1.712
2017/06/14 12:51:19,1079.933,26.150,120.000
2017/06/14 13:51:19,1076.667,26.127,120.000
2017/06/14 14:51:19,1073.167,26.113,120.000
2017/06/14 15:51:19,1071.358,26.103,120.000
2017/06/14 16:51:19,1090.667,26.150,120.000
2017/06/14 17:51:19,1088.508,26.177,120.000
2017/06/14 18:51:19,1082.675,26.223,120.000
2017/06/14 19:51:19,1080.633,26.297,120.000
2017/06/14 20:51:19,1080.633,26.410,120.000
2017/06/14 21:51:19,1080.808,26.537,120.000
2017/06/14 22:51:19,1080.808,26.657,120.000
