Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
42894.70,1028.717,26.86,0.008
42894.74,1028.892,26.653,0.012
42894.79,1027.083,25.12,0.012
42894.83,1026.908,24.63,0.008
42894.87,1027.258,25.05,0.008
42894.91,1027.842,25.13,0.008
42894.95,1028.367,25.13,0.008
42894.99,1028.542,25.003,0.008
42895.04,1028.542,24.817,0.008
42895.08,1028.542,24.633,0.008
42895.12,1028.367,24.477,0.008
42895.16,1028.367,24.323,0.008
42895.20,1028.367,24.17,0.008
42895.24,1029.125,24.013,0.008
42895.29,1029.825,24.003,0.008
42895.33,1029.883,22.123,0.012
42895.37,1033.617,26.103,0.016
42895.41,1034.958,31.137,0.024
42895.45,1037.817,35.573,0.028
42895.49,1080.283,25.707,120
42895.54,1080.108,25.51,120
42895.58,1091.017,25.457,120
42895.62,1085.417,25.417,120
42895.66,1079.408,25.387,120
42895.70,1078.475,25.367,120
42895.74,1077.542,25.363,120
42895.79,1077.192,25.393,120
42895.83,1077.367,25.443,120
42895.87,1077.367,25.5,120
42895.91,1078.125,25.57,120
42895.95,1078.3,25.633,120
42895.99,1077.892,25.693,120
42896.04,1077.717,25.75,120
42896.08,1077.192,25.783,120
42896.12,1077.017,25.807,120
42896.16,1077.017,25.813,120
42896.20,1077.542,25.81,120
42896.24,1077.95,25.8,120
42896.29,1078.3,25.767,120
42896.33,1078.825,25.72,120
42896.37,1078.825,25.663,120
42896.41,1078.475,25.613,120
42896.45,1077.717,25.577,120
42896.49,1076.667,25.577,120
42896.54,1075.208,25.587,120
42896.58,1093.233,25.573,120
42896.62,1096.5,25.577,120
42896.66,1093.583,25.58,120
42896.70,1082.5,25.593,120
42896.74,1080.108,25.62,120
42896.79,1081.042,25.687,120
42896.83,1081.392,25.787,120
42896.87,1081.217,25.887,120
42896.91,1081.217,25.987,120
42896.95,1081.742,26.07,120
42896.99,1081.917,26.15,120
42897.04,1081.742,26.223,120
42897.08,1081.392,26.277,120
42897.12,1081.392,26.317,120
42897.16,1081.392,26.32,120
42897.20,1082.5,26.313,120
42897.24,1082.5,26.313,120
42897.29,1083.2,26.337,120
42897.33,1083.375,26.343,120
42897.37,1084.133,26.337,120
42897.41,1084.133,26.317,120
42897.45,1084.133,26.29,120
42897.49,1083.55,26.267,120
42897.54,1082.325,26.237,120
42897.58,1082.85,26.207,120
42897.62,1095.975,26.207,120
42897.66,1097.958,26.187,120
42897.70,1086.292,26.18,120
42897.74,1083.958,26.197,120
42897.79,1083.725,26.247,120
42897.83,1083.375,26.32,120
42897.87,1083.958,26.387,120
42897.91,1084.483,26.443,120
42897.95,1085.183,26.5,120
42897.99,1085.008,26.537,120
42898.04,1085.008,26.57,120
42898.08,1084.133,26.59,120
42898.12,1083.55,26.593,120
