Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
42893.63,1098.6,26.237,35.212
42893.67,1097.317,26.06,34.704
42893.71,1086,26.05,34.192
42893.75,1075.733,26.077,33.752
42893.79,1066.75,26.11,33.176
42893.83,1065.817,26.113,33.192
42893.88,1064.883,26.147,33.228
42893.92,1063.95,26.167,33.212
42893.96,1062.842,26.177,33.252
42894.00,1062.083,26.163,33.332
42894.04,1061.325,26.13,33.416
42894.08,1064.883,26.093,33.792
42894.13,1072.642,26.067,34.216
42894.17,1071.708,26.037,34.24
42894.21,1067.683,25.997,33.968
42894.25,1062.258,25.93,33.668
42894.29,1061.5,25.893,33.624
42894.33,1061.033,25.857,33.644
42894.38,1061.15,25.807,33.652
42894.42,1060.858,25.75,33.648
42894.46,1060.567,25.7,33.668
42894.50,1065.35,25.683,33.88
42894.54,1074.217,25.667,34.264
42894.58,1077.6,25.647,34.412
42894.63,1073.108,25.637,34.252
42894.67,1064.767,25.66,33.86
42894.71,1062.55,25.7,33.732
42894.75,1062.258,25.74,33.72
42894.79,1062.142,25.78,33.756
42894.83,1061.792,25.813,33.768
42894.88,1061.617,25.837,33.8
42894.92,1061.325,25.843,33.788
42894.96,1061.792,25.833,33.836
42895.00,1061.792,25.803,33.836
42895.04,1062.258,25.753,33.856
42895.08,1061.967,25.68,33.896
42895.13,1061.675,25.6,33.908
42895.17,1061.5,25.517,33.952
42895.21,1061.967,25.43,33.956
42895.25,1061.967,25.333,33.98
42895.29,1062.9,25.233,34
42895.33,1063.192,25.127,33.992
42895.38,1063.367,25.013,33.976
42895.42,1063.075,24.93,33.94
42895.46,1062.725,24.887,33.932
42895.50,1065.992,24.907,34.028
42895.54,1076.258,24.953,34.348
42895.58,1086.467,24.997,34.696
42895.63,1088.8,25.057,34.796
42895.67,1082.15,25.167,34.616
42895.71,1072.175,25.34,34.288
42895.75,1063.658,25.483,33.556
42895.79,1063.192,25.547,33.512
42895.83,1063.367,25.643,33.544
42895.88,1063.95,25.74,33.58
42895.92,1064.592,25.823,33.632
42895.96,1064.883,25.87,33.652
42896.00,1064.883,25.883,33.684
42896.04,1064.592,25.853,33.688
42896.08,1064.125,25.787,33.704
42896.13,1064.417,25.697,33.772
42896.17,1065.175,25.613,33.924
42896.21,1065.175,25.487,33.936
42896.25,1065.35,25.357,33.956
42896.29,1065.992,25.23,33.944
42896.33,1066.108,25.107,33.92
42896.38,1066.458,25.047,33.944
42896.42,1066.283,25.037,33.912
42896.46,1066.108,25.053,33.88
42896.50,1066.925,25.08,33.952
42896.54,1076.375,25.14,34.444
42896.58,1088.042,25.193,34.756
42896.63,1095.917,25.263,34.936
42896.67,1094.517,25.37,34.924
42896.71,1086.467,25.547,34.684
42896.75,1076.375,25.757,34.084
42896.79,1068.325,25.89,32.74
42896.83,1067.975,25.897,32.716
42896.88,1067.217,25.967,32.772
42896.92,1067.508,26.043,32.836
42896.96,1067.975,26.1,32.86
42897.00,1067.858,26.13,32.928
42897.04,1067.683,26.137,32.988
42897.08,1067.858,26.113,33.044
42897.13,1070.017,26.067,33.372
42897.17,1077.775,26.023,34.108
42897.21,1081.975,25.993,34.416
42897.25,1075.908,25.983,33.828
42897.29,1070.658,25.947,33.324
42897.33,1070.192,25.907,33.3
42897.38,1070.483,25.873,33.304
42897.42,1070.308,25.843,33.292
42897.46,1070.192,25.827,33.332
42897.50,1069.842,25.823,33.348
42897.54,1074.683,25.84,33.644
42897.58,1083.375,25.883,34.224
42897.63,1092.358,25.957,34.628
42897.67,1097.025,26.063,34.804
42897.71,1090.783,26.267,34.524
42897.75,1082.15,26.46,34.04
42897.79,1071.417,26.613,33.34
42897.83,1070.017,26.563,33.288
42897.88,1070.95,26.597,33.296
42897.92,1070.775,26.623,33.308
42897.96,1070.775,26.633,33.348
42898.00,1071.125,26.613,33.392
42898.04,1070.95,26.573,33.388
42898.08,1069.842,26.517,33.436
42898.13,1069.258,26.443,33.444
42898.17,1069.083,26.367,33.464
42898.21,1073.867,26.303,33.804
42898.25,1071.242,26.247,33.66
42898.29,1070.308,26.16,33.564
42898.33,1070.483,26.083,33.584
42898.38,1070.658,26.013,33.58
42898.42,1070.483,25.95,33.584
42898.46,1070.483,25.91,33.6
42898.50,1070.483,25.88,33.62
42898.54,1069.842,25.86,33.624
42898.58,1071.417,25.86,33.748
42898.63,1080.108,25.87,34.18
42898.67,1086.933,25.893,34.46
42898.71,1086.933,25.937,34.508
42898.75,1077.775,26.023,34.124
42898.79,1069.083,26.1,33.54
42898.83,1068.15,26.107,33.496
42898.88,1068.325,26.137,33.528
42898.92,1068.325,26.167,33.528
42898.96,1068.325,26.17,33.54
42899.00,1067.975,26.147,33.572
42899.04,1067.217,26.093,33.588
42899.08,1066.925,26.013,33.588
42899.13,1066.458,25.92,33.616
42899.17,1066.575,25.823,33.656
42899.21,1072.35,25.853,33.984
42899.25,1072.35,25.84,33.968
42899.29,1069.375,25.737,33.732
42899.33,1069.375,25.647,33.688
