Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 17/04/2019
TIME       : 15:54:26
FILENAME   : C:\Users\s.verhulst\Desktop\CTD Data\New folder\CSV\sws_r3395_190417155425_R3395.CSV
CREATED BY : Diver-Office 10.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..14-R3395  317.
  Instrument number       =          UTC-4     
                          =0
  Location                =sws_r3395
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..14-R3395  317.
  Instrument number       =          UTC-4     
  Location                =sws_r3395
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =32:48:16 08/06/17
  End date / time         =32:48:14 17/04/19
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2017/06/08 16:48:32,1029.242,27.453,0.004
2017/06/08 17:48:32,1029.533,26.400,0.004
2017/06/08 18:48:32,1026.908,25.410,0.004
2017/06/08 19:48:32,1027.900,25.140,0.004
2017/06/08 20:48:32,1028.192,25.310,0.004
2017/06/08 21:48:32,1028.542,25.357,0.004
2017/06/08 22:48:32,1028.950,25.340,0.004
2017/06/08 23:48:32,1029.242,25.233,0.004
2017/06/09 00:48:32,1029.300,25.047,0.004
2017/06/09 01:48:32,1029.300,24.867,0.004
2017/06/09 02:48:32,1029.300,24.703,0.004
2017/06/09 03:48:32,1029.008,24.557,0.004
2017/06/09 04:48:32,1029.300,24.397,0.004
2017/06/09 05:48:32,1029.767,24.243,0.004
2017/06/09 06:48:32,1030.350,24.233,0.004
2017/06/09 07:48:32,1030.525,22.680,0.004
2017/06/09 08:48:32,1034.783,29.160,0.004
2017/06/09 09:48:32,1036.358,33.033,0.004
2017/06/09 10:48:32,1038.108,37.537,0.004
2017/06/09 11:48:32,1038.050,30.463,0.000
2017/06/09 12:48:32,1037.467,29.803,0.000
2017/06/09 13:48:32,1085.008,23.900,60.876
2017/06/09 14:48:32,1087.983,23.793,61.164
2017/06/09 15:48:32,1087.400,23.767,61.176
2017/06/09 16:48:32,1086.933,23.760,61.252
2017/06/09 17:48:32,1086.642,23.757,61.280
2017/06/09 18:48:32,1086.175,23.753,61.328
2017/06/09 19:48:32,1086.642,23.757,61.384
2017/06/09 20:48:32,1087.108,23.760,61.436
2017/06/09 21:48:32,1087.867,23.770,61.576
2017/06/09 22:48:32,1088.567,23.780,61.772
2017/06/09 23:48:32,1088.917,23.793,61.960
2017/06/10 00:48:32,1088.917,23.803,62.084
2017/06/10 01:48:32,1088.450,23.817,62.164
2017/06/10 02:48:32,1088.158,23.827,62.236
2017/06/10 03:48:32,1087.983,23.830,62.260
2017/06/10 04:48:32,1087.983,23.763,62.240
2017/06/10 05:48:32,1088.158,23.660,62.132
2017/06/10 06:48:32,1089.033,23.607,62.060
2017/06/10 07:48:32,1089.325,23.560,62.020
2017/06/10 08:48:32,1089.617,23.617,61.996
2017/06/10 09:48:32,1089.792,23.717,61.976
2017/06/10 10:48:32,1089.617,23.773,61.968
2017/06/10 11:48:32,1089.617,23.790,61.984
2017/06/10 12:48:32,1089.325,23.793,61.972
2017/06/10 13:48:32,1088.917,23.793,61.992
2017/06/10 14:48:32,1088.742,23.783,61.968
